A1,2.957,8,18.1,71,523,53.083,39.267,61.467,infected
A2,2.291,8,15.4,65,526,67.467,42.533,69.517,infected
A3,2.342,8,16.4,80,680,61.750,37.967,44.183,infected
A4,2.442,8,13,121,524,71.833,39.067,43.800,infected
A5,2.08,8,16.4,66,459,73.000,47.385,51.900,infected
A6,2.223,8,18.3,118,643,69.950,42.333,74.317,infected
A7,1.636,8,13.6,77,463,58.633,71.500,69.850,infected
A8,2.456,8,14,107,635,63.983,40.833,54.183,infected
A9,2.326,8,15.8,54,470,70.900,42.483,51.717,infected
A10,2.332,8,16.4,57,676,60.200,35.717,43.700,infected
A11,2.618,8,12.2,151,483,84.633,66.633,43.150,infected
A12,2.465,8,11.5,117,450,73.650,47.700,67.383,infected
A13,1.945,8,12,120,422,78.333,78.383,47.733,infected
A14,2.19,8,12,121,448,74.017,67.583,74.667,infected
A15,2.534,8,16.4,57,552,67.167,50.300,56.917,infected
A16,2.184,8,20.7,35,573,61.000,44.383,50.267,infected
A17,1.812,8,17.2,76,724,71.383,38.650,46.167,infected
A18,2.397,8,13.7,94,581,60.283,38.367,80.583,infected
A19,2.138,8,12.6,109,388,76.967,61.117,77.800,infected
A20,1.935,8,18,52,544,69.033,41.167,65.333,infected
A21,1.733,8,14.9,58,477,74.050,44.400,43.783,infected
A22,2.03,8,13.6,55,463,75.767,48.467,74.867,infected
A23,1.701,8,12.7,117,422,68.433,72.883,67.233,infected
A24,1.741,8,11.9,79,423,86.350,57.267,50.217,infected
A25,1.944,8,15.7,108,543,70.250,53.933,62.283,infected
A26,2.305,8,17.8,64,356,74.900,42.317,73.283,infected
A27,2.333,8,17.5,134,580,61.700,42.683,76.233,infected
A28,2.275,8,14,92,519,73.283,57.367,61.683,infected
A29,2.486,8,12.8,124,430,91.883,44.717,43.483,infected
A30,1.816,8,14.1,99,474,76.300,44.750,71.950,infected
A31,2.194,8,20.2,55,857,52.983,36.933,49.900,infected
A32,1.527,8,15.9,112,716,58.583,42.283,44.700,infected
A33,2.893,8,19.6,127,772,61.867,41.983,57.317,infected
A34,1.949,8,15.1,135,640,66.633,43.400,68.717,infected
A35,1.526,8,17.1,87,682,50.300,46.417,43.733,infected
A36,2.18,8,17.7,120,730,63.367,40.233,57.767,infected
A37,1.906,8,17.1,27,585,64.700,44.933,62.300,infected
