921,2.607,13,18.2,190,780,49.133,43.300,49.017,severe
922,3.623,13,18.6,130,877,58.067,42.383,50.217,severe
923,2.997,13,22.3,54,980,51.033,42.650,39.700,severe
924,3.109,13,19.4,128,862,58.700,45.250,40.267,severe
925,2.394,13,19,24,667,51.633,58.100,40.383,severe
926,2.614,13,26.6,54,990,56.383,45.267,40.717,severe
927,2.533,13,17.1,112,792,49.617,41.500,47.250,severe
928,2.177,13,22.5,79,878,54.333,51.583,44.217,severe
929,2.415,13,21.4,72,812,53.950,46.450,40.300,severe
930,3.548,13,16.3,102,620,49.900,45.283,34.833,severe
931,3.153,13,22.3,125,1005,53.033,40.967,40.867,severe
932,2.21,13,18,125,872,53.167,50.683,45.033,severe
933,2.302,13,17,102,747,50.167,45.233,45.733,severe
934,2.11,13,19.9,138,772,52.217,38.750,44.733,severe
935,2.634,13,19.3,124,725,46.083,42.567,42.883,severe
936,2.472,13,21.2,126,584,51.950,45.783,48.133,severe
937,2.846,13,24.2,69,882,50.200,38.300,41.650,severe
938,2.122,13,21.5,86,1022,50.150,45.783,38.633,severe
939,2.4,13,16.8,124,753,53.533,52.550,42.533,severe
940,2.504,13,17,133,854,49.317,37.750,42.133,healthy
941,2.598,13,17.2,96,723,50.717,45.033,46.933,healthy
942,2.892,13,21.3,109,995,46.750,35.733,41.067,healthy
943,2.479,13,17,128,814,49.200,40.700,39.683,healthy
944,2.169,13,24.5,89,907,57.033,45.800,37.850,healthy
945,2.783,13,17,144,778,51.317,42.733,47.900,healthy
946,2.265,13,20.5,112,748,48.333,54.733,35.350,healthy
947,2.292,13,17.7,107,636,56.550,43.100,40.200,healthy
948,2.24,13,22.3,118,534,49.850,44.233,51.867,healthy
949,3.725,13,23.4,86,937,52.583,46.383,56.333,healthy
950,3.638,13,13.3,177,932,53.350,49.533,48.650,healthy
951,3.38,13,18.2,142,876,50.900,44.083,47.867,healthy
952,3.626,13,17.9,145,828,50.433,44.783,45.433,healthy
953,3.415,13,19.7,153,922,45.250,49.350,40.417,healthy
954,2.91,13,17.4,136,809,57.083,56.583,38.250,healthy
955,2.339,13,25,84,886,53.133,44.033,44.067,healthy
956,2.925,13,19.7,83,746,54.367,53.317,44.867,healthy
957,3.479,13,22.5,118,836,56.183,47.417,44.450,healthy
958,3.223,13,22.5,112,1132,47.917,42.683,51.100,healthy
959,3.143,13,20.8,84,813,53.050,41.167,45.717,healthy
960,3.386,13,16.6,139,774,57.217,49.500,41.733,healthy
961,3.253,13,17,132,885,53.600,41.967,57.967,healthy
962,3.452,13,16.8,58,955,47.017,29.317,48.817,healthy
963,3.52,13,21.3,156,1007,50.417,42.500,47.667,healthy
964,2.434,13,11,74,506,50.633,43.733,41.983,healthy
965,2.586,13,15,107,714,46.933,50.567,47.150,healthy
966,3.143,13,16.2,183,677,47.567,42.267,35.167,healthy
967,3.242,13,17.1,92,842,47.050,34.067,36.700,healthy
968,3.47,13,14.6,135,682,57.183,34.800,44.683,healthy
969,3.324,13,21,98,848,48.350,37.333,36.167,healthy
970,3.222,13,16.2,124,813,50.100,49.800,46.200,healthy
971,4.271,13,20,106,792,50.067,35.200,44.567,healthy
972,3.978,13,19.8,98,682,42.117,39.683,41.817,healthy
973,3.29,13,18.1,92,586,55.817,29.500,41.583,healthy
974,3.523,13,17.4,102,768,43.383,38.467,38.167,healthy
975,3.146,13,15.2,83,596,52.067,49.467,40.183,healthy
976,3.751,13,16.1,47,706,48.933,45.950,46.433,healthy
977,4.122,13,19.1,177,858,51.033,44.400,51.283,healthy
978,3.401,13,17.1,96,824,44.850,28.600,35.150,healthy
979,2.859,13,14.7,109,553,51.200,44.583,39.383,healthy
980,3.341,13,22.2,55,797,54.017,39.467,41.467,healthy
