13,22.50,2.177,79.000,878.000,54.333,51.583,Plot-B
13,21.40,2.415,72.000,812.000,53.950,46.450,Plot-B
13,16.30,3.548,102.000,620.000,49.900,45.283,Plot-B
13,22.30,3.153,125.000,1005.000,53.033,40.967,Plot-B
13,18.00,2.210,125.000,872.000,53.167,50.683,Plot-B
13,17.00,2.302,102.000,747.000,50.167,45.233,Plot-B
13,19.90,2.110,138.000,772.000,52.217,38.750,Plot-B
13,19.30,2.634,124.000,725.000,46.083,42.567,Plot-B
13,21.20,2.472,126.000,584.000,51.950,45.783,Plot-B
13,24.20,2.846,69.000,882.000,50.200,38.300,Plot-B
13,21.50,2.122,86.000,1022.000,50.150,45.783,Plot-B
13,16.80,2.400,124.000,753.000,53.533,52.550,Plot-B
13,17.00,2.504,133.000,854.000,49.317,37.750,Plot-B
13,17.20,2.598,96.000,723.000,50.717,45.033,Plot-B
13,21.30,2.892,109.000,995.000,46.750,35.733,Plot-B
13,17.00,2.479,128.000,814.000,49.200,40.700,Plot-B
13,24.50,2.169,89.000,907.000,57.033,45.800,Plot-B
13,17.00,2.783,144.000,778.000,51.317,42.733,Plot-B
13,20.50,2.265,112.000,748.000,48.333,54.733,Plot-B
13,17.70,2.292,107.000,636.000,56.550,43.100,Plot-B
13,22.30,2.240,118.000,534.000,49.850,44.233,Plot-B
13,23.40,3.725,86.000,937.000,52.583,46.383,Plot-B
13,13.30,3.638,177.000,932.000,53.350,49.533,Plot-B
13,18.20,3.380,142.000,876.000,50.900,44.083,Plot-B
13,17.90,3.626,145.000,828.000,50.433,44.783,Plot-B
13,19.70,3.415,153.000,922.000,45.250,49.350,Plot-B
13,17.40,2.910,136.000,809.000,57.083,56.583,Plot-B
13,25.00,2.339,84.000,886.000,53.133,44.033,Plot-B
13,19.70,2.925,83.000,746.000,54.367,53.317,Plot-B
13,22.50,3.479,118.000,836.000,56.183,47.417,Plot-B
13,22.50,3.223,112.000,1132.000,47.917,42.683,Plot-B
13,20.80,3.143,84.000,813.000,53.050,41.167,Plot-B
13,16.60,3.386,139.000,774.000,57.217,49.500,Plot-B
13,17.00,3.253,132.000,885.000,53.600,41.967,Plot-B
13,16.80,3.452,58.000,955.000,47.017,29.317,Plot-B
13,21.30,3.520,156.000,1007.000,50.417,42.500,Plot-B
13,11.00,2.434,74.000,506.000,50.633,43.733,Plot-B
13,15.00,2.586,107.000,714.000,46.933,50.567,Plot-B
13,16.20,3.143,183.000,677.000,47.567,42.267,Plot-B
13,17.10,3.242,92.000,842.000,47.050,34.067,Plot-B
13,14.60,3.470,135.000,682.000,57.183,34.800,Plot-B
13,21.00,3.324,98.000,848.000,48.350,37.333,Plot-B
13,16.20,3.222,124.000,813.000,50.100,49.800,Plot-B
13,20.00,4.271,106.000,792.000,50.067,35.200,Plot-B
13,19.80,3.978,98.000,682.000,42.117,39.683,Plot-B
13,18.10,3.290,92.000,586.000,55.817,29.500,Plot-B
13,17.40,3.523,102.000,768.000,43.383,38.467,Plot-B
13,15.20,3.146,83.000,596.000,52.067,49.467,Plot-B
13,16.10,3.751,47.000,706.000,48.933,45.950,Plot-B
13,19.10,4.122,177.000,858.000,51.033,44.400,Plot-B
13,17.10,3.401,96.000,824.000,44.850,28.600,Plot-B
13,14.70,2.859,109.000,553.000,51.200,44.583,Plot-B
13,22.20,3.341,55.000,797.000,54.017,39.467,Plot-B
